X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
-0.16,-0.17,0.69,8790,11079,120,,99.9130835,4,,,
-0.15,-0.21,0.69,8770,11098,111.1111111,,90.99096822,4,,,
-0.14,-0.28,0.7,8746,11033,125,,95.70396035,4,,,
-0.16,-0.35,0.93,8750,10997,103.4482759,,99.84378735,4,,,
-0.19,-0.34,1.02,8786,11116,136.3636364,,91.08274497,4,,,
-0.22,-0.32,1,8770,11020,103.4482759,,83.2646879,4,,,
-0.24,-0.36,1,8755,11028,73.17073171,,94.95166301,4,,,
-0.21,-0.43,1.21,8801,11018,103.4482759,,94.89180316,4,,,
-0.2,-0.5,1.24,8736,10988,103.4482759,,94.93838779,4,,,
-0.2,-0.44,1.2,8748,10952,130.4347826,,99.32976171,4,,,
0,-0.73,1.3,8796,10937,150,,97.91218699,4,,,
0.01,-0.52,1.19,8754,11046,111.1111111,,91.3915955,4,,,
0.03,-0.51,1.05,8745,10981,111.1111111,,83.26958268,4,,,
0.04,-0.32,0.77,8749,11006,103.4482759,,94.95166301,4,,,
-0.08,-0.39,0.93,8761,11023,96.77419355,,94.89180315,4,,,
0.2,-0.6,1.01,8801,10976,125,,94.93838778,4,,,
0.2,-0.25,0.85,8710,10992,136.3636364,,99.32976167,4,,,
0.11,-0.17,0.6,8754,11010,78.94736842,,97.91218699,4,,,
-0.19,-0.08,0.44,8798,10988,100,,91.39159547,4,,,
-0.21,-0.15,0.44,8772,11011,120,,83.26958271,4,,,
-0.22,-0.22,0.57,8764,11098,100,,94.91936329,4,,,
-0.26,-0.39,1.02,8813,11047,96.77419355,,94.84164482,4,,,
-0.15,-0.61,1.27,8763,11072,107.1428571,,97.1612791,4,,,
-0.16,-0.45,1.26,8821,11048,111.1111111,,96.84352203,4,,,
-0.19,-0.43,1.26,8732,11014,103.4482759,,99.2484533,4,,,
-0.17,-0.26,1.17,8770,10984,136.3636364,,73.26354677,4,,,
-0.29,-0.36,1.55,8751,11063,103.4482759,,91.46623031,4,,,
