X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.57,0,0.88,8213,10662,157.8947368,,98.30956129,2,,,
0.55,-0.04,0.9,8218,10669,150,,94.91236292,2,,,
0.59,-0.01,0.81,8172,10680,111.1111111,,94.99728919,2,,,
0.51,0,0.88,8156,10659,150,,95.35283725,2,,,
0.55,-0.04,0.9,8220,10676,111.1111111,,98.53187481,2,,,
0.57,-0.01,0.86,8221,10673,142.8571429,,93.47618562,2,,,
0.55,0,0.86,8220,10691,125,,99.06809532,2,,,
0.57,-0.06,0.81,8123,10690,136.3636364,,98.49997306,2,,,
0.56,-0.03,0.82,8156,10676,142.8571429,,99.14696616,2,,,
0.56,-0.03,0.89,8208,10737,136.3636364,,97.55680499,2,,,
0.51,-0.01,0.89,8163,10657,150,,98.35630269,2,,,
0.52,-0.01,0.88,8238,10623,187.5,,98.27827056,2,,,
0.54,-0.01,0.91,8159,10654,176.4705882,,99.94026198,2,,,
0.52,-0.03,0.84,8228,10636,157.8947368,,99.6148734,2,,,
0.55,-0.01,0.89,8175,10709,130.4347826,,98.24559468,2,,,
